ISim log file
Running: /home/ise/NTUST_FPGA/RiscV/Risc_tb_isim_par.exe -intstyle ise -gui -sdfmax /uut/=netgen/par/Risc_timesim.sdf -sdfroot /uut -tclbatch isim.cmd -wdb /home/ise/NTUST_FPGA/RiscV/Risc_tb_isim_par.wdb 
INFO: There is another simulation running in the same directory. Using database file name isim1.wdb.
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
INFO: SDF backannotation was successful with SDF file netgen/par/Risc_timesim.sdf, for root module /uut/.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
0ns x 0 x xxxx xxxx x 

3.247ns x 0 x xxxx 0000 0 

10ns 0 0 x xxxx 0000 0 

20ns 1 0 x xxxx 0000 0 

30ns 0 0 x xxxx 0000 0 

40ns 1 0 x xxxx 0000 0 

50ns 0 0 x xxxx 0000 0 

60ns 1 0 x xxxx 0000 0 

70ns 0 0 x xxxx 0000 0 

80ns 1 0 x xxxx 0000 0 

90ns 0 0 x xxxx 0000 0 

100ns 1 0 x xxxx 0000 0 

110ns 0 0 x xxxx 0000 0 

120ns 1 0 x xxxx 0000 0 

130ns 0 0 x xxxx 0000 0 

140ns 1 0 x xxxx 0000 0 

150ns 0 0 x xxxx 0000 0 

160ns 1 0 x xxxx 0000 0 

170ns 0 0 x xxxx 0000 0 

180ns 1 0 x xxxx 0000 0 

190ns 0 1 x xxxx 0000 0 

200ns 1 1 x xxxx 0000 0 

210ns 0 1 1 0800 0000 0 

220ns 1 1 1 0800 0000 0 

230ns 0 1 1 0902 0000 0 

240ns 1 1 1 0902 0000 0 

250ns 0 1 1 0a20 0000 0 

260ns 1 1 1 0a20 0000 0 

270ns 0 1 1 0b40 0000 0 

280ns 1 1 1 0b40 0000 0 

290ns 0 1 1 1c40 0000 0 

300ns 1 1 1 1c40 0000 0 

310ns 0 1 1 2c60 0000 0 

320ns 1 1 1 2c60 0000 0 

330ns 0 0 1 3801 0000 0 

340ns 1 0 1 3801 0000 0 

350ns 0 0 1 3a22 0000 0 

360ns 1 0 1 3a22 0000 0 

370ns 0 0 1 3b32 0000 0 

380ns 1 0 1 3b32 0000 0 

390ns 0 0 1 3021 0000 0 

400ns 1 0 1 3021 0000 0 

410ns 0 0 1 c186 0000 0 

420ns 1 0 1 c186 0000 0 

430ns 0 0 1 e001 0000 0 

440ns 1 0 1 e001 0000 0 

Minimum Value (R0): 0000
450ns 0 0 1 e000 0000 0 

460ns 1 0 1 e000 0000 0 

Maximum Value (R1): 0000
470ns 0 0 1 e020 0000 0 

480ns 1 0 1 e020 0000 0 

490ns 0 0 1 e001 0000 0 

500ns 1 0 1 e001 0000 0 

510ns 0 0 0 e001 0000 0 

520ns 1 0 0 e001 0000 0 

530ns 0 0 0 e001 0000 0 

540ns 1 0 0 e001 0000 0 

550ns 0 0 0 e001 0000 0 

560ns 1 0 0 e001 0000 0 

570ns 0 0 0 e001 0000 0 

580ns 1 0 0 e001 0000 0 

590ns 0 0 0 e001 0000 0 

600ns 1 0 0 e001 0000 0 

610ns 0 0 0 e001 0000 0 

620ns 1 0 0 e001 0000 0 

630ns 0 1 0 e001 0000 0 

640ns 1 1 0 e001 0000 0 

650ns 0 0 0 e001 0000 0 

660ns 1 0 0 e001 0000 0 

670ns 0 0 0 e001 0000 0 

680ns 1 0 0 e001 0000 0 

690ns 0 1 0 e001 0000 0 

700ns 1 1 0 e001 0000 0 

710ns 0 1 0 e001 0000 0 

720ns 1 1 0 e001 0000 0 

730ns 0 1 0 e001 0000 0 

740ns 1 1 0 e001 0000 0 

750ns 0 1 0 e001 0000 0 

760ns 1 1 0 e001 0000 0 

770ns 0 1 0 e001 0000 0 

780ns 1 1 0 e001 0000 0 

790ns 0 1 0 e001 0000 0 

800ns 1 1 0 e001 0000 0 

810ns 0 1 0 e001 0000 0 

820ns 1 1 0 e001 0000 0 

830ns 0 1 0 e001 0000 0 

840ns 1 1 0 e001 0000 0 

850ns 0 1 0 e001 0000 0 

860ns 1 1 0 e001 0000 0 

870ns 0 1 0 e001 0000 0 

880ns 1 1 0 e001 0000 0 

890ns 0 1 0 e001 0000 0 

900ns 1 1 0 e001 0000 0 

910ns 0 1 0 e001 0000 0 

920ns 1 1 0 e001 0000 0 

930ns 0 1 0 e001 0000 0 

940ns 1 1 0 e001 0000 0 

950ns 0 1 0 e001 0000 0 

960ns 1 1 0 e001 0000 0 

970ns 0 1 0 e001 0000 0 

980ns 1 1 0 e001 0000 0 

990ns 0 1 0 e001 0000 0 

1000ns 1 1 0 e001 0000 0 

# exit 0
